Scope,Tensor,Shape / Params,Details
Embeddings,model.embed_tokens.weight,100352 x 5120,Token embedding matrix
Rotary,rope,rotary_dim=128,"theta=500000, heads=40, head_dim=128"
Layer 0,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 0,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 0,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 0,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 0,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 0,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 0,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 0,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 0,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 0,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 0,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 1,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 1,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 1,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 1,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 1,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 1,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 1,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 1,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 1,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 1,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 1,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 2,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 2,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 2,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 2,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 2,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 2,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 2,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 2,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 2,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 2,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 2,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 3,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 3,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 3,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 3,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 3,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 3,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 3,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 3,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 3,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 3,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 3,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 4,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 4,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 4,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 4,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 4,self_attn.v_proj.weight,5120 x 5120,Value projection
